"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"f:\SocialApp\src\ui\DeletePopup.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 8, 58
"f:\SocialApp\src\ui\ErrorBoundary.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"f:\SocialApp\src\ui\ErrorFallBack.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 8, 60
"f:\SocialApp\src\ui\FakeAvatar.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"f:\SocialApp\src\ui\Form.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"f:\SocialApp\src\ui\FormHeader.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 7, 59
"f:\SocialApp\src\ui\FormRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\SocialApp\src\ui\FormTail.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"f:\SocialApp\src\ui\Header.jsx", "JavaScript JSX", 0, 105, 0, 0, 0, 0, 0, 1, 13, 119
"f:\SocialApp\src\ui\Input.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"f:\SocialApp\src\ui\Label.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"f:\SocialApp\src\ui\ListItem.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"f:\SocialApp\src\ui\Logo.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"f:\SocialApp\src\ui\Menu.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"f:\SocialApp\src\ui\MenuItem.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"f:\SocialApp\src\ui\MiniSpinner.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"f:\SocialApp\src\ui\Modal.jsx", "JavaScript JSX", 0, 119, 0, 0, 0, 0, 0, 0, 11, 130
"f:\SocialApp\src\ui\NavItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\SocialApp\src\ui\NotificationCount.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"f:\SocialApp\src\ui\OnlineSign.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
